99 21  21 84  84 12  12 86  86 58  58 89  89 97  97 35  35 85  85 54  54 12  12 15  15 8  8 35  35 61  61 91  91 74  74 4  4 39  39 87  87 55  55 91  91 44  44 60  60 6  6 96  96 51  51 51  51 37  37 30  30 24  24 90  90 27  27 65  65 94  94 20  20 17  17 4  4 87  87 20  20 48  48 26  26 38  38 7  7 11  11 79  79 81  81 81  81 44  44 68
22 59  59 80  80 47  47 68  68 59  59 53  53 30  30 43  43 43  43 77  77 41  41 8  8 9  9 16  16 48  48 13  13 3  3 60  60 39  39 32  32 23  23 60  60 46  46 47  47 76  76 77  77 66  66 94  94 99  99 11  11 85  85 61  61 17  17 99  99 5  5 27  27 80  80 15  15 43  43 85  85 50  50 39  39 70  70 47  47 34  34 26  26 43  43 44  44 11  11 42
64 23  23 88  88 10  10 78  78 94  94 65  65 8  8 74  74 22  22 27  27 51  51 23  23 76  76 58  58 42  42 57  57 3  3 11  11 51  51 95  95 63  63 2  2 7  7 93  93 85  85 49  49 40  40 12  12 57  57 2  2 72  72 95  95 98  98 61  61 98  98 58  58 37  37 50  50 51  51 56  56 9  9 41  41 78  78 27  27 81  81 50  50 81  81 70  70 24  24 39

64 23  23 88  88 10  10 78  78 94  94 65  65 8  8 74  74 22  22 27  27 51  51 23  23 76  76 58  58 42  42 57  57 3  3 11  11 51  51 95  95 63  63 2  2 7  7 93  93 85  85 49  49 40  40 12  12 57  57 2  2 72  72 95  95 98  98 61  61 98  98 58  58 37  37 50  50 51  51 56  56 9  9 41  41 78  78 27  27 81  81 50  50 81  81 70  70 24  24 39
71 94  94 68  68 27  27 76  76 7  7 49  49 50  50 25  25 12  12 9  9 22  22 64  64 90  90 92  92 33  33 63  63 76  76 85  85 3  3 13  13 90  90 33  33 17  17 51  51 39  39 69  69 4  4 96  96 72  72 11  11 50  50 73  73 25  25 84  84 98  98 87  87 73  73 72  72 59  59 3  3 56  56 62  62 89  89 75  75 80  80 21  21 27  27 33  33 67  67 67

71 94  94 68  68 27  27 76  76 7  7 49  49 50  50 25  25 12  12 9  9 22  22 64  64 90  90 92  92 33  33 63  63 76  76 85  85 3  3 13  13 90  90 33  33 17  17 51  51 39  39 69  69 4  4 96  96 72  72 11  11 50  50 73  73 25  25 84  84 98  98 87  87 73  73 72  72 59  59 3  3 56  56 62  62 89  89 75  75 80  80 21  21 27  27 33  33 67  67 67
9 81  81 81  81 74  74 52  52 83  83 2  2 87  87 48  48 11  11 71  71 3  3 66  66 86  86 34  34 24  24 2  2 43  43 18  18 91  91 15  15 33  33 10  10 88  88 16  16 70  70 96  96 54  54 75  75 77  77 80  80 5  5 81  81 70  70 20  20 22  22 43  43 94  94 3  3 89  89 63  63 91  91 91  91 38  38 60  60 7  7 7  7 10  10 53  53 50  50 76

9 81  81 81  81 74  74 52  52 83  83 2  2 87  87 48  48 11  11 71  71 3  3 66  66 86  86 34  34 24  24 2  2 43  43 18  18 91  91 15  15 33  33 10  10 88  88 16  16 70  70 96  96 54  54 75  75 77  77 80  80 5  5 81  81 70  70 20  20 22  22 43  43 94  94 3  3 89  89 63  63 91  91 91  91 38  38 60  60 7  7 7  7 10  10 53  53 50  50 76
39 33  33 34  34 88  88 14  14 73  73 89  89 13  13 11  11 67  67 30  30 1  1 8  8 18  18 82  82 30  30 7  7 83  83 41  41 40  40 81  81 66  66 93  93 22  22 62  62 89  89 55  55 5  5 12  12 34  34 79  79 17  17 43  43 21  21 43  43 81  81 80  80 15  15 90  90 75  75 22  22 22  22 93  93 97  97 76  76 5  5 87  87 86  86 33  33 74  74 94

39 33  33 34  34 88  88 14  14 73  73 89  89 13  13 11  11 67  67 30  30 1  1 8  8 18  18 82  82 30  30 7  7 83  83 41  41 40  40 81  81 66  66 93  93 22  22 62  62 89  89 55  55 5  5 12  12 34  34 79  79 17  17 43  43 21  21 43  43 81  81 80  80 15  15 90  90 75  75 22  22 22  22 93  93 97  97 76  76 5  5 87  87 86  86 33  33 74  74 94
1 18  18 47  47 92  92 95  95 33  33 7  7 53  53 73  73 12  12 51  51 93  93 55  55 95  95 32  32 30  30 21  21 93  93 90  90 88  88 23  23 95  95 5  5 36  36 66  66 50  50 79  79 23  23 73  73 7  7 30  30 75  75 7  7 27  27 14  14 61  61 11  11 61  61 97  97 69  69 77  77 17  17 57  57 73  73 97  97 59  59 53  53 26  26 8  8 32  32 53

1 18  18 47  47 92  92 95  95 33  33 7  7 53  53 73  73 12  12 51  51 93  93 55  55 95  95 32  32 30  30 21  21 93  93 90  90 88  88 23  23 95  95 5  5 36  36 66  66 50  50 79  79 23  23 73  73 7  7 30  30 75  75 7  7 27  27 14  14 61  61 11  11 61  61 97  97 69  69 77  77 17  17 57  57 73  73 97  97 59  59 53  53 26  26 8  8 32  32 53
97 87  87 87  87 24  24 92  92 38  38 36  36 2  2 83  83 10  10 26  26 1  1 33  33 52  52 29  29 8  8 19  19 65  65 94  94 16  16 91  91 66  66 15  15 15  15 86  86 20  20 22  22 68  68 29  29 26  26 90  90 36  36 22  22 16  16 61  61 72  72 63  63 9  9 63  63 77  77 99  99 39  39 9  9 6  6 14  14 18  18 75  75 50  50 25  25 40  40 85

97 87  87 87  87 24  24 92  92 38  38 36  36 2  2 83  83 10  10 26  26 1  1 33  33 52  52 29  29 8  8 19  19 65  65 94  94 16  16 91  91 66  66 15  15 15  15 86  86 20  20 22  22 68  68 29  29 26  26 90  90 36  36 22  22 16  16 61  61 72  72 63  63 9  9 63  63 77  77 99  99 39  39 9  9 6  6 14  14 18  18 75  75 50  50 25  25 40  40 85
47 36  36 43  43 41  41 2  2 98  98 94  94 2  2 30  30 23  23 24  24 54  54 48  48 8  8 50  50 39  39 4  4 5  5 20  20 13  13 74  74 39  39 64  64 3  3 87  87 54  54 6  6 57  57 4  4 66  66 17  17 92  92 5  5 47  47 21  21 94  94 24  24 39  39 83  83 79  79 42  42 33  33 31  31 70  70 46  46 7  7 79  79 13  13 64  64 18  18 48

47 36  36 43  43 41  41 2  2 98  98 94  94 2  2 30  30 23  23 24  24 54  54 48  48 8  8 50  50 39  39 4  4 5  5 20  20 13  13 74  74 39  39 64  64 3  3 87  87 54  54 6  6 57  57 4  4 66  66 17  17 92  92 5  5 47  47 21  21 94  94 24  24 39  39 83  83 79  79 42  42 33  33 31  31 70  70 46  46 7  7 79  79 13  13 64  64 18  18 48
12 27  27 27  27 10  10 61  61 97  97 60  60 25  25 54  54 5  5 22  22 27  27 73  73 90  90 28  28 14  14 95  95 80  80 80  80 2  2 65  65 28  28 33  33 97  97 63  63 96  96 12  12 47  47 94  94 31  31 12  12 79  79 62  62 81  81 41  41 20  20 90  90 83  83 36  36 3  3 7  7 71  71 9  9 99  99 48  48 11  11 36  36 34  34 80  80 2  2 99

12 27  27 27  27 10  10 61  61 97  97 60  60 25  25 54  54 5  5 22  22 27  27 73  73 90  90 28  28 14  14 95  95 80  80 80  80 2  2 65  65 28  28 33  33 97  97 63  63 96  96 12  12 47  47 94  94 31  31 12  12 79  79 62  62 81  81 41  41 20  20 90  90 83  83 36  36 3  3 7  7 71  71 9  9 99  99 48  48 11  11 36  36 34  34 80  80 2  2 99
69 1  1 96  96 63  63 20  20 31  31 77  77 8  8 30  30 21  21 56  56 49  49 87  87 88  88 36  36 72  72 98  98 68  68 53  53 41  41 34  34 83  83 14  14 56  56 53  53 40  40 21  21 54  54 48  48 57  57 13  13 80  80 46  46 26  26 2  2 62  62 75  75 82  82 83  83 41  41 84  84 17  17 88  88 98  98 33  33 92  92 15  15 51  51 5  5 34  34 56

69 1  1 96  96 63  63 20  20 31  31 77  77 8  8 30  30 21  21 56  56 49  49 87  87 88  88 36  36 72  72 98  98 68  68 53  53 41  41 34  34 83  83 14  14 56  56 53  53 40  40 21  21 54  54 48  48 57  57 13  13 80  80 46  46 26  26 2  2 62  62 75  75 82  82 83  83 41  41 84  84 17  17 88  88 98  98 33  33 92  92 15  15 51  51 5  5 34  34 56
8 55  55 87  87 27  27 5  5 24  24 89  89 77  77 33  33 95  95 95  95 33  33 22  22 43  43 11  11 58  58 83  83 36  36 87  87 29  29 21  21 33  33 13  13 78  78 22  22 90  90 54  54 73  73 16  16 57  57 74  74 65  65 64  64 18  18 65  65 44  44 31  31 21  21 92  92 86  86 50  50 31  31 8  8 14  14 18  18 22  22 23  23 12  12 6  6 93  93 43

8 55  55 87  87 27  27 5  5 24  24 89  89 77  77 33  33 95  95 95  95 33  33 22  22 43  43 11  11 58  58 83  83 36  36 87  87 29  29 21  21 33  33 13  13 78  78 22  22 90  90 54  54 73  73 16  16 57  57 74  74 65  65 64  64 18  18 65  65 44  44 31  31 21  21 92  92 86  86 50  50 31  31 8  8 14  14 18  18 22  22 23  23 12  12 6  6 93  93 43
45 10  10 47  47 90  90 16  16 72  72 70  70 43  43 1  1 9  9 3  3 4  4 66  66 68  68 14  14 35  35 92  92 28  28 51  51 2  2 28  28 52  52 29  29 77  77 67  67 6  6 68  68 31  31 38  38 20  20 26  26 47  47 80  80 94  94 91  91 67  67 83  83 57  57 72  72 10  10 44  44 71  71 69  69 8  8 63  63 14  14 75  75 25  25 9  9 4  4 76

45 10  10 47  47 90  90 16  16 72  72 70  70 43  43 1  1 9  9 3  3 4  4 66  66 68  68 14  14 35  35 92  92 28  28 51  51 2  2 28  28 52  52 29  29 77  77 67  67 6  6 68  68 31  31 38  38 20  20 26  26 47  47 80  80 94  94 91  91 67  67 83  83 57  57 72  72 10  10 44  44 71  71 69  69 8  8 63  63 14  14 75  75 25  25 9  9 4  4 76
42 52  52 13  13 43  43 6  6 12  12 39  39 89  89 19  19 42  42 66  66 55  55 65  65 23  23 31  31 93  93 73  73 42  42 26  26 84  84 2  2 59  59 53  53 51  51 35  35 39  39 15  15 21  21 25  25 98  98 83  83 27  27 14  14 95  95 79  79 56  56 12  12 19  19 98  98 3  3 37  37 75  75 24  24 77  77 92  92 64  64 55  55 7  7 25  25 43  43 25

42 52  52 13  13 43  43 6  6 12  12 39  39 89  89 19  19 42  42 66  66 55  55 65  65 23  23 31  31 93  93 73  73 42  42 26  26 84  84 2  2 59  59 53  53 51  51 35  35 39  39 15  15 21  21 25  25 98  98 83  83 27  27 14  14 95  95 79  79 56  56 12  12 19  19 98  98 3  3 37  37 75  75 24  24 77  77 92  92 64  64 55  55 7  7 25  25 43  43 25
29 84  84 28  28 77  77 81  81 64  64 24  24 99  99 14  14 14  14 15  15 17  17 65  65 44  44 59  59 23  23 56  56 3  3 74  74 10  10 38  38 69  69 21  21 25  25 78  78 41  41 60  60 12  12 27  27 82  82 29  29 92  92 73  73 34  34 60  60 54  54 42  42 54  54 23  23 24  24 25  25 71  71 33  33 70  70 82  82 55  55 80  80 62  62 25  25 77  77 7

29 84  84 28  28 77  77 81  81 64  64 24  24 99  99 14  14 14  14 15  15 17  17 65  65 44  44 59  59 23  23 56  56 3  3 74  74 10  10 38  38 69  69 21  21 25  25 78  78 41  41 60  60 12  12 27  27 82  82 29  29 92  92 73  73 34  34 60  60 54  54 42  42 54  54 23  23 24  24 25  25 71  71 33  33 70  70 82  82 55  55 80  80 62  62 25  25 77  77 7
7 2  2 40  40 92  92 96  96 54  54 96  96 50  50 10  10 19  19 15  15 64  64 73  73 7  7 7  7 42  42 62  62 61  61 20  20 53  53 75  75 80  80 80  80 35  35 49  49 59  59 89  89 37  37 31  31 36  36 61  61 41  41 5  5 12  12 9  9 83  83 38  38 82  82 30  30 8  8 26  26 93  93 65  65 94  94 94  94 4  4 17  17 22  22 51  51 50  50 10

7 2  2 40  40 92  92 96  96 54  54 96  96 50  50 10  10 19  19 15  15 64  64 73  73 7  7 7  7 42  42 62  62 61  61 20  20 53  53 75  75 80  80 80  80 35  35 49  49 59  59 89  89 37  37 31  31 36  36 61  61 41  41 5  5 12  12 9  9 83  83 38  38 82  82 30  30 8  8 26  26 93  93 65  65 94  94 94  94 4  4 17  17 22  22 51  51 50  50 10
71 57  57 33  33 96  96 6  6 54  54 3  3 58  58 32  32 48  48 11  11 59  59 59  59 46  46 47  47 38  38 21  21 24  24 41  41 10  10 6  6 74  74 39  39 34  34 27  27 94  94 15  15 46  46 46  46 44  44 93  93 38  38 38  38 58  58 56  56 85  85 29  29 61  61 86  86 53  53 5  5 25  25 19  19 44  44 71  71 8  8 94  94 38  38 82  82 65  65 91

71 57  57 33  33 96  96 6  6 54  54 3  3 58  58 32  32 48  48 11  11 59  59 59  59 46  46 47  47 38  38 21  21 24  24 41  41 10  10 6  6 74  74 39  39 34  34 27  27 94  94 15  15 46  46 46  46 44  44 93  93 38  38 38  38 58  58 56  56 85  85 29  29 61  61 86  86 53  53 5  5 25  25 19  19 44  44 71  71 8  8 94  94 38  38 82  82 65  65 91
4 57  57 91  91 37  37 11  11 49  49 46  46 40  40 22  22 17  17 23  23 26  26 15  15 89  89 76  76 83  83 57  57 17  17 76  76 89  89 94  94 83  83 82  82 71  71 62  62 9  9 93  93 70  70 3  3 39  39 38  38 20  20 3  3 15  15 56  56 57  57 24  24 80  80 84  84 17  17 3  3 14  14 33  33 14  14 62  62 63  63 59  59 53  53 19  19 11  11 78

4 57  57 91  91 37  37 11  11 49  49 46  46 40  40 22  22 17  17 23  23 26  26 15  15 89  89 76  76 83  83 57  57 17  17 76  76 89  89 94  94 83  83 82  82 71  71 62  62 9  9 93  93 70  70 3  3 39  39 38  38 20  20 3  3 15  15 56  56 57  57 24  24 80  80 84  84 17  17 3  3 14  14 33  33 14  14 62  62 63  63 59  59 53  53 19  19 11  11 78
58 75  75 79  79 71  71 42  42 95  95 21  21 75  75 17  17 51  51 7  7 31  31 66  66 68  68 91  91 71  71 49  49 44  44 58  58 38  38 88  88 59  59 84  84 68  68 23  23 39  39 58  58 80  80 10  10 42  42 53  53 90  90 24  24 88  88 16  16 16  16 94  94 65  65 17  17 29  29 56  56 67  67 19  19 5  5 3  3 51  51 92  92 39  39 42  42 74  74 97

58 75  75 79  79 71  71 42  42 95  95 21  21 75  75 17  17 51  51 7  7 31  31 66  66 68  68 91  91 71  71 49  49 44  44 58  58 38  38 88  88 59  59 84  84 68  68 23  23 39  39 58  58 80  80 10  10 42  42 53  53 90  90 24  24 88  88 16  16 16  16 94  94 65  65 17  17 29  29 56  56 67  67 19  19 5  5 3  3 51  51 92  92 39  39 42  42 74  74 97
77 80  80 76  76 62  62 69  69 9  9 74  74 94  94 24  24 42  42 79  79 54  54 9  9 6  6 70  70 35  35 17  17 26  26 23  23 37  37 63  63 17  17 49  49 66  66 5  5 29  29 12  12 81  81 6  6 11  11 30  30 10  10 65  65 11  11 55  55 41  41 30  30 12  12 59  59 81  81 46  46 1  1 79  79 94  94 33  33 76  76 34  34 44  44 60  60 37  37 99

77 80  80 76  76 62  62 69  69 9  9 74  74 94  94 24  24 42  42 79  79 54  54 9  9 6  6 70  70 35  35 17  17 26  26 23  23 37  37 63  63 17  17 49  49 66  66 5  5 29  29 12  12 81  81 6  6 11  11 30  30 10  10 65  65 11  11 55  55 41  41 30  30 12  12 59  59 81  81 46  46 1  1 79  79 94  94 33  33 76  76 34  34 44  44 60  60 37  37 99
19 55  55 11  11 87  87 27  27 12  12 4  4 71  71 15  15 93  93 30  30 88  88 6  6 63  63 33  33 59  59 43  43 8  8 26  26 48  48 74  74 49  49 92  92 1  1 74  74 10  10 33  33 84  84 92  92 45  45 76  76 74  74 52  52 60  60 7  7 59  59 94  94 65  65 74  74 31  31 60  60 80  80 34  34 66  66 24  24 99  99 80  80 4  4 7  7 62  62 16

19 55  55 11  11 87  87 27  27 12  12 4  4 71  71 15  15 93  93 30  30 88  88 6  6 63  63 33  33 59  59 43  43 8  8 26  26 48  48 74  74 49  49 92  92 1  1 74  74 10  10 33  33 84  84 92  92 45  45 76  76 74  74 52  52 60  60 7  7 59  59 94  94 65  65 74  74 31  31 60  60 80  80 34  34 66  66 24  24 99  99 80  80 4  4 7  7 62  62 16
23 58  58 52  52 67  67 83  83 69  69 12  12 12  12 50  50 60  60 96  96 66  66 36  36 35  35 54  54 41  41 18  18 85  85 26  26 32  32 27  27 56  56 91  91 90  90 73  73 8  8 63  63 39  39 17  17 55  55 67  67 90  90 59  59 87  87 10  10 92  92 88  88 93  93 90  90 32  32 1  1 82  82 89  89 87  87 80  80 88  88 46  46 56  56 78  78 93  93 69

23 58  58 52  52 67  67 83  83 69  69 12  12 12  12 50  50 60  60 96  96 66  66 36  36 35  35 54  54 41  41 18  18 85  85 26  26 32  32 27  27 56  56 91  91 90  90 73  73 8  8 63  63 39  39 17  17 55  55 67  67 90  90 59  59 87  87 10  10 92  92 88  88 93  93 90  90 32  32 1  1 82  82 89  89 87  87 80  80 88  88 46  46 56  56 78  78 93  93 69
5 85  85 35  35 94  94 33  33 16  16 31  31 91  91 30  30 43  43 82  82 14  14 75  75 92  92 40  40 43  43 80  80 24  24 75  75 78  78 86  86 10  10 6  6 18  18 9  9 28  28 38  38 21  21 99  99 7  7 63  63 89  89 1  1 30  30 27  27 39  39 80  80 93  93 88  88 10  10 65  65 29  29 72  72 29  29 72  72 49  49 36  36 48  48 27  27 90  90 19

5 85  85 35  35 94  94 33  33 16  16 31  31 91  91 30  30 43  43 82  82 14  14 75  75 92  92 40  40 43  43 80  80 24  24 75  75 78  78 86  86 10  10 6  6 18  18 9  9 28  28 38  38 21  21 99  99 7  7 63  63 89  89 1  1 30  30 27  27 39  39 80  80 93  93 88  88 10  10 65  65 29  29 72  72 29  29 72  72 49  49 36  36 48  48 27  27 90  90 19
30 96  96 84  84 40  40 27  27 25  25 4  4 6  6 78  78 87  87 46  46 20  20 70  70 47  47 95  95 64  64 62  62 37  37 1  1 24  24 44  44 24  24 1  1 9  9 9  9 51  51 25  25 12  12 49  49 35  35 29  29 97  97 94  94 58  58 52  52 23  23 3  3 26  26 52  52 83  83 39  39 21  21 43  43 2  2 6  6 46  46 19  19 15  15 88  88 35  35 48

30 96  96 84  84 40  40 27  27 25  25 4  4 6  6 78  78 87  87 46  46 20  20 70  70 47  47 95  95 64  64 62  62 37  37 1  1 24  24 44  44 24  24 1  1 9  9 9  9 51  51 25  25 12  12 49  49 35  35 29  29 97  97 94  94 58  58 52  52 23  23 3  3 26  26 52  52 83  83 39  39 21  21 43  43 2  2 6  6 46  46 19  19 15  15 88  88 35  35 48
73 76  76 18  18 49  49 51  51 16  16 8  8 82  82 69  69 83  83 99  99 66  66 15  15 25  25 3  3 25  25 72  72 56  56 30  30 43  43 19  19 73  73 21  21 48  48 7  7 12  12 1  1 59  59 98  98 58  58 18  18 73  73 59  59 17  17 99  99 42  42 56  56 41  41 91  91 10  10 43  43 48  48 17  17 61  61 8  8 20  20 59  59 41  41 93  93 20  20 82

73 76  76 18  18 49  49 51  51 16  16 8  8 82  82 69  69 83  83 99  99 66  66 15  15 25  25 3  3 25  25 72  72 56  56 30  30 43  43 19  19 73  73 21  21 48  48 7  7 12  12 1  1 59  59 98  98 58  58 18  18 73  73 59  59 17  17 99  99 42  42 56  56 41  41 91  91 10  10 43  43 48  48 17  17 61  61 8  8 20  20 59  59 41  41 93  93 20  20 82
25 87  87 3  3 55  55 39  39 52  52 75  75 83  83 53  53 40  40 17  17 91  91 29  29 36  36 44  44 59  59 58  58 67  67 68  68 81  81 74  74 72  72 38  38 67  67 10  10 41  41 16  16 87  87 44  44 81  81 64  64 20  20 81  81 43  43 84  84 45  45 57  57 19  19 28  28 49  49 72  72 91  91 34  34 46  46 57  57 84  84 63  63 80  80 22  22 71  71 33

25 87  87 3  3 55  55 39  39 52  52 75  75 83  83 53  53 40  40 17  17 91  91 29  29 36  36 44  44 59  59 58  58 67  67 68  68 81  81 74  74 72  72 38  38 67  67 10  10 41  41 16  16 87  87 44  44 81  81 64  64 20  20 81  81 43  43 84  84 45  45 57  57 19  19 28  28 49  49 72  72 91  91 34  34 46  46 57  57 84  84 63  63 80  80 22  22 71  71 33
15 34  34 48  48 99  99 90  90 39  39 93  93 16  16 96  96 21  21 90  90 32  32 37  37 64  64 71  71 64  64 22  22 52  52 8  8 3  3 35  35 4  4 60  60 58  58 95  95 85  85 83  83 30  30 59  59 30  30 13  13 78  78 94  94 15  15 64  64 16  16 63  63 75  75 94  94 35  35 65  65 70  70 93  93 52  52 93  93 50  50 33  33 43  43 89  89 91  91 33

15 34  34 48  48 99  99 90  90 39  39 93  93 16  16 96  96 21  21 90  90 32  32 37  37 64  64 71  71 64  64 22  22 52  52 8  8 3  3 35  35 4  4 60  60 58  58 95  95 85  85 83  83 30  30 59  59 30  30 13  13 78  78 94  94 15  15 64  64 16  16 63  63 75  75 94  94 35  35 65  65 70  70 93  93 52  52 93  93 50  50 33  33 43  43 89  89 91  91 33
23 49  49 33  33 38  38 29  29 44  44 38  38 19  19 42  42 97  97 11  11 75  75 26  26 50  50 16  16 63  63 26  26 29  29 10  10 70  70 71  71 5  5 87  87 24  24 97  97 30  30 74  74 82  82 92  92 70  70 3  3 12  12 86  86 39  39 99  99 47  47 72  72 12  12 70  70 6  6 43  43 13  13 91  91 20  20 39  39 82  82 36  36 57  57 48  48 28  28 69

23 49  49 33  33 38  38 29  29 44  44 38  38 19  19 42  42 97  97 11  11 75  75 26  26 50  50 16  16 63  63 26  26 29  29 10  10 70  70 71  71 5  5 87  87 24  24 97  97 30  30 74  74 82  82 92  92 70  70 3  3 12  12 86  86 39  39 99  99 47  47 72  72 12  12 70  70 6  6 43  43 13  13 91  91 20  20 39  39 82  82 36  36 57  57 48  48 28  28 69
59 41  41 67  67 3  3 67  67 59  59 33  33 22  22 49  49 4  4 6  6 78  78 65  65 10  10 22  22 46  46 5  5 80  80 37  37 71  71 87  87 71  71 21  21 36  36 8  8 73  73 65  65 21  21 19  19 32  32 35  35 67  67 80  80 43  43 27  27 3  3 22  22 45  45 68  68 63  63 9  9 24  24 70  70 27  27 11  11 99  99 21  21 30  30 5  5 88  88 46

59 41  41 67  67 3  3 67  67 59  59 33  33 22  22 49  49 4  4 6  6 78  78 65  65 10  10 22  22 46  46 5  5 80  80 37  37 71  71 87  87 71  71 21  21 36  36 8  8 73  73 65  65 21  21 19  19 32  32 35  35 67  67 80  80 43  43 27  27 3  3 22  22 45  45 68  68 63  63 9  9 24  24 70  70 27  27 11  11 99  99 21  21 30  30 5  5 88  88 46
65 85  85 80  80 88  88 90  90 40  40 85  85 50  50 61  61 4  4 39  39 67  67 39  39 77  77 10  10 71  71 62  62 85  85 99  99 19  19 10  10 80  80 78  78 6  6 33  33 21  21 27  27 88  88 40  40 60  60 46  46 31  31 78  78 43  43 3  3 80  80 66  66 73  73 63  63 58  58 2  2 20  20 18  18 81  81 37  37 2  2 59  59 90  90 48  48 60  60 25

